,Hardware Integrity,,,,,Local Access,,,,,Mobile Security,,,,,,,Wi-Fi Security,,,,Service Security,,,,,,,,,,,Hardware Security,,,,Firmware Updates,,,,,,,,End-user Privacy,,,,,,Binary Hardening,,,,,,Linux Hardening,,,,,,,,,,Statistics,,,,,,,
iSmartPet,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Pass,Pass,Fail,Fail,Fail,Fail,Fail,N/A,Fail,Pass,Fail,Pass,N/A,Pass,N/A,N/A,Pass,Fail,Fail,Fail,Fail,Fail,Pass,N/A,Fail,N/A,Pass,Pass,Fail,N/A,N/A,N/A,Unknown,N/A,Unknown,Unknown,Pass,Pass,N/A,N/A,Fail,Fail,Fail,Fail,Pass,Fail,Pass,Fail,Pass,Fail,Fail,Fail,Fail,Fail,Pass,Fail,Fail,Pass,16,35,12,3,66,24%,42%,53%
Didog,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Pass,Pass,Fail,Fail,Fail,Pass,Fail,N/A,Fail,Pass,Fail,Fail,Fail,Pass,N/A,N/A,Pass,Fail,Pass,N/A,N/A,Fail,Pass,N/A,Fail,N/A,Pass,Pass,Pass,Fail,Pass,Fail,Fail,Fail,Pass,Fail,Pass,Pass,N/A,N/A,Pass,Fail,Fail,Fail,Pass,Fail,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Pass,19,38,9,0,66,29%,42%,58%
HONGSA,Fail,Fail,Fail,Fail,Fail,Fail,Pass,Fail,Pass,Pass,Fail,Fail,Fail,Pass,N/A,N/A,Fail,Pass,Fail,Fail,Fail,Pass,N/A,N/A,Fail,Fail,Pass,N/A,N/A,Fail,Pass,N/A,Pass,Fail,Pass,Pass,Pass,Fail,Fail,Pass,Fail,Pass,Pass,Fail,Pass,Fail,Fail,Fail,Pass,Fail,Fail,Fail,Pass,Fail,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Unknown,19,39,7,1,66,29%,39%,59%
IOIODOG,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Pass,Fail,Pass,Pass,Pass,Pass,Fail,N/A,Unknown,Pass,Fail,Pass,N/A,Pass,N/A,N/A,Pass,Pass,Pass,N/A,N/A,Fail,Pass,N/A,Fail,N/A,Fail,Fail,Pass,Unknown,Unknown,Pass,Unknown,Pass,Unknown,Unknown,Pass,Pass,Fail,Pass,Pass,Fail,Fail,Fail,Fail,Fail,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Pass,21,31,8,6,66,32%,44%,47%
Swept Supplies,Fail,Fail,Fail,Fail,Fail,Fail,Pass,Pass,Pass,Pass,Fail,Fail,Fail,Pass,N/A,N/A,Fail,Pass,Fail,Fail,Fail,Pass,N/A,N/A,Pass,Fail,Pass,N/A,N/A,Fail,Pass,N/A,Fail,N/A,Pass,Pass,Fail,N/A,N/A,N/A,Unknown,N/A,Unknown,Unknown,Pass,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Pass,Fail,Pass,Fail,Fail,Fail,Fail,Unknown,Unknown,Fail,Fail,Unknown,16,32,12,6,66,24%,42%,48%
Amcrest,Fail,Fail,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Fail,Pass,Fail,Pass,Fail,N/A,Unknown,Pass,Fail,Fail,Fail,Fail,Fail,Pass,Pass,Pass,Fail,Fail,Pass,Unknown,Unknown,N/A,Unknown,Unknown,Unknown,Unknown,Pass,Unknown,Unknown,Pass,Unknown,Pass,Unknown,Pass,Pass,Unknown,Fail,Fail,Pass,Fail,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Fail,Unknown,Unknown,20,17,2,27,66,30%,33%,26%
Sekoya,Fail,Fail,Fail,Pass,Fail,Fail,Pass,Fail,Pass,Pass,Pass,Fail,Pass,Pass,Fail,N/A,Pass,Pass,Fail,Fail,Fail,Pass,N/A,N/A,Pass,Fail,Fail,Fail,Fail,Fail,Unknown,Pass,Fail,N/A,Pass,Fail,Pass,Unknown,Unknown,Pass,Unknown,Pass,Unknown,Unknown,Pass,Fail,Fail,Pass,Fail,Fail,Fail,Fail,Pass,Fail,Pass,Fail,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Unknown,21,34,4,7,66,32%,38%,52%
Total Pass,0,5,19,24,5,3,21,9,26,24,13,8,13,38,5,2,16,39,0,25,3,25,1,12,38,31,32,0,2,0,37,12,24,35,32,0,34,13,9,25,7,28,9,3,38,21,0,13,26,1,7,8,13,0,24,2,4,0,0,0,0,1,3,2,0,16,887,1114,453,182,2636,,,
Total Fail,40,35,21,16,35,37,16,19,9,13,27,32,27,2,28,3,12,1,40,15,12,15,14,3,2,9,8,8,6,39,1,5,15,4,7,0,6,9,13,9,8,6,4,11,2,13,34,21,14,38,20,19,14,27,3,25,23,27,27,27,27,24,21,26,27,0,34%,42%,17%,7%,,,,
Total N/A,0,0,0,0,0,0,3,12,5,3,0,0,0,0,7,35,0,0,0,0,25,0,25,25,0,0,0,32,32,0,0,23,0,15,0,0,0,6,6,6,0,6,0,0,0,0,6,6,0,0,11,11,11,11,11,11,11,11,11,11,11,11,12,11,11,11,,,,,,,,
Total Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,1,1,0,0,12,12,0,25,0,27,26,0,6,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,4,4,0,2,13,,,,,,,,
Grand Total,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,55,40,0,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,39,40,40,,,,,,,,
